type,model,dropout,BLEU-1,BLEU-2,BLEU-3,BLEU-4,train_time
merge,LSTM,0,0.549273,0.366437,0.270579,0.14955,11370.08
merge,LSTM,0.1,0.509925,0.334139,0.245548,0.131892,12464.96
merge,LSTM,0.25,0.518726,0.33015,0.230795,0.118085,13599.65
merge,GRU,0,0.365575,0.236714,0.1752,0.089682,9958.81
merge,GRU,0.1,0.580628,0.382481,0.277372,0.153308,9144.5
merge,GRU,0.25,0.551493,0.356029,0.250548,0.130749,12966.52
inject,LSTM,0,0.33991,0.220931,0.168477,0.086653,12776.73
inject,LSTM,0.1,0.543709,0.354202,0.25353,0.134943,12832.59
inject,LSTM,0.25,0.596595,0.378968,0.258824,0.133635,15940.24
inject,GRU,0,0.486058,0.303204,0.215501,0.110913,10897.94
inject,GRU,0.1,0.516127,0.320386,0.214027,0.102915,10989.98
inject,GRU,0.25,0.593253,0.372373,0.25296,0.128178,13171.16
